Jersey_Rank,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12,2010-11
1,201939,2544,2544,2544,2544,202391,2544
2,201142,201939,201939,201142,2546,201565,977
3,2544,977,977,977,201142,2544,201565
4,202681,201142,201142,201565,977,977,200765
5,202691,201565,201565,201939,201565,201142,2548
6,201566,202681,202681,2546,2548,2548,2546
7,203110,1495,1495,2548,101114,2546,201142
8,201565,2546,2546,101108,200765,200765,2405
9,2548,2548,2548,202681,101108,201933,201933
10,202695,201933,201933,201935,201933,1717,1717
11,1627732,201935,201935,201933,202681,101108,2730
12,203081,203081,203081,201566,201939,201566,202322
13,204001,201566,201566,200765,2730,2405,1718
14,2738,202322,202322,1495,201566,1718,951
15,201935,1717,1717,202331,2405,951,708
16,202710,101108,101108,203081,1718,2730,959
17,201933,200765,200765,202322,1495,202322,101108
18,201567,202695,202695,1717,959,201937,2547
19,1938,203076,203076,203487,2207,708,2200
20,202689,202691,202691,951,1717,959,201939
21,202331,202391,202391,2225,2199,201567,201566
22,101108,2225,2225,101114,201937,1495,965
23,202738,1938,1938,201149,708,201939,101145
24,202326,203952,203952,201567,1938,202690,1938
25,202391,202331,202331,2215,202391,2547,1495
26,203507,201149,201149,202391,951,1938,200750
27,201942,200768,200768,2730,2225,202681,101114
28,2546,202710,202710,203076,2747,201935,201943
29,200768,203078,203078,1718,201567,2225,2207
30,1717,201942,201942,2405,201935,101145,2225
31,1626156,203926,203926,201937,467,101114,201936
32,202355,201567,201567,200746,202322,2738,1497
33,2730,202326,202326,2547,202697,2200,467
34,202322,203953,203953,708,2547,1897,1885
35,200746,200746,200746,201951,203076,1891,1713
36,200765,203501,203501,1938,201149,2207,2365
37,203076,2547,2547,959,201950,965,1897
38,202687,203507,203507,202710,202695,201943,2738
39,203500,203506,203506,202695,2200,202689,202323
40,2225,2730,2730,2207,201951,467,2747
41,2733,202339,202339,202718,1897,201568,2430
42,203952,2738,2738,203506,202331,2216,101122
43,202330,201156,201156,202697,203081,201936,201564
44,2594,708,708,2365,2216,101122,101135
45,203521,201609,201609,101135,202689,200746,101126
46,2747,203487,203487,2738,200779,202323,101107
47,1627741,2594,2594,2747,201568,1497,201567
48,203953,101145,101145,2199,2222,2365,2216
49,203083,101114,101114,203078,101135,201149,2397
50,202684,2207,2207,203084,201943,2199,201937
